group,note_id,llm_likelihood,signal_type,primary_signal
2026_review,Hdel5om3XY,35,substance,"Specific engagement (line numbers, Table 2, quoted claim, supplied citations) with idiosyncratic but polished phrasing; some LLM-style headers like 'Limited Sco"
2024_review,1U9E43RKwT,3,substance,"Reviewer supplies own citation (Kunstner et al. 2019) with specific section pointer, flags reference-year error, notes duplicated word typo — idiosyncratic conc"
2026_review,3NZs4p9hKA,3,substance,"Idiosyncratic voice, direct second-person questions to authors, typo spotted on p4 with '<image>' rendering, uneven grammar ('It it based')"
2026_review,Y36glkwWWv,68,structure,"Highly symmetric bolded-heading strengths/weaknesses scaffolding with fluent uniform prose; critiques are abstract ('tautological', 'straw-man') with few concre"
2026_meta,YMLf7S2l9p,25,structure,"This is an area-chair meta-review, not a reviewer review; it has typo 'comaprison' and idiosyncratic clunky phrasing ('it is unfortunate that the paper in its c"
2026_review,hSPwsm5yE4,25,substance,"Specific, opinionated critique with idiosyncratic phrasing ('practioners', 'daily practice') and substantive modeling questions; some structured scaffolding but"
2024_review,aeB1ZvGJAG,95,substance,"Strengths and weaknesses sections are swapped (weaknesses list contains praise), with generic, templated questions and fluent uniform prose lacking any specific"
2026_review,xYFNo5E85F,70,substance,"Fluent, symmetric strengths/weaknesses bullets with generic methodological critiques (strong assumptions, light experiments) and no concrete references to equat"
2026_meta,nnkcsNYKVZ,25,substance,"Meta-review with concrete procedural specifics (reviewer IDs, scores, email follow-up, named presentation fixes) and slightly awkward human phrasing ('he also p"
2024_review,sMFMMciBNg,4,substance,"Truncated sentence in S1 ('it is good to '), typo 'cocerns', and highly specific technical objections referencing Definition 1 notation and Fig 1(a)"
2026_meta,P6fMDkhNjl,20,substance,"Meta-review-style text with specific reviewer ID reference, hedged first-person judgments about individual reviewers' score changes, and concrete critique of re"
2026_review,Vjq5A72vAM,4,substance,"Idiosyncratic hedged voice ('Perhaps this was buried in the appendix somewhere but I missed it'), uneven dashes, substantive conceptual critique rather than sym"
2026_meta,WkU8bOpBv1,30,substance,"This is a meta-review/AC summary with highly specific per-reviewer technical details (epsilon thresholds, DACHI/DSS, CNAE-9, COIL-20, seed counts), and idiosync"
2026_meta,2cGtYqK7sb,88,structure,"Reads as a generic meta-summary with symmetric 'addressed / partially unresolved' scaffolding, fluent uniform prose, and no concrete engagement (no equations, f"
2026_meta,JTDFNgwaBP,25,substance,"This is a meta-review/AC summary with very concrete paper-specific details (Qwen3-32B, Appendix G.2, Figure 1-Right, batch size 4, named reviewer IDs and scores"
2026_meta,m8NQLeh43W,38,structure,"This is a meta-summary of reviews, not a review itself; it contains concrete specifics (Figure 3, reviewer IDs, hyperparameter fairness) suggesting human/AC syn"
2024_review,7wiHZUC9YP,15,substance,"Idiosyncratic voice ('I like the proposed idea very much'), specific references to contributions (a)/(b)/(c) and Figures 3-4, uneven phrasing ('it seems that th"
2026_meta,5radX5CW9d,18,structure,"Terse meta-review/AC notes with idiosyncratic shorthand ('*unlikely*', full-width colon '：', blunt AC verdict), concrete per-reviewer specifics like 'W1.1 solve"
2026_review,AsRCdWevJ1,8,substance,"Specific line-number and concrete domain queries (tusker vs. african elephant), idiosyncratic '3/4 on novelty' scoring, uneven personal voice"
2026_review,CSiHrKWbN2,25,substance,"Supplies specific uncited baseline papers by title and names concrete baselines (ReMasker, GAIN, MissForest, MICE); 'QUESTIONS: NAN' is a human artifact, though"
2026_meta,ICDxseep8c,10,substance,"Idiosyncratic AC voice with personal opinions, meta-commentary on reviewer dynamics ('spot something is off but can't articulate it well'), specific reviewer ID"
2026_review,Oqashq37uu,25,substance,"Specific technical engagement (CoACD, MuJoCo, SAPIEN comparison), idiosyncratic questions about the paper's odd phrase 'reality see and touch', slightly non-nat"
2026_review,04Ius8XLtf,25,substance,"Concrete, specific critiques (k=2000, Euclidean vs cosine, Figure 4/7 captions) and slightly uneven phrasing ('fundament computer science analysis') suggest a h"
2024_review,fn1LipzVnP,25,substance,"Reviewer supplies specific citations (LongNet, Gated State Spaces), references Table 1 and T5-base setup concerns; slightly awkward phrasing ('both long-sequenc"
2024_review,bkvSfoV9v6,15,substance,"Concrete domain-specific demands (CIFAR-10LT, MiSLAS baseline), slightly awkward grammar ('Could you an analysis'), run-on phrasing typical of a human expert"
2026_review,ULLK3v0fH4,55,structure,"Fluent symmetric bulleted strengths/weaknesses with generic praise, but includes concrete specifics (Table 2, M=8, named baselines like LLM-Streamline, Sheared "
2026_meta,Soqwo33XOA,40,structure,"This is a meta-review/AC-style summary with non-native English phrasing ('he may accept', 'their main problems at present lie in') and concrete reviewer IDs and"
2026_meta,0Lr5UuRJdD,72,structure,"This is a meta-review/AC summary written in uniformly fluent, generic prose with symmetric 'addressed/outstanding' scaffolding and no concrete specifics (no rev"
2026_review,7askPZ5LTo,91,structure,"Perfectly symmetric numbered strengths/weaknesses/questions scaffolding with fluent generic prose, no page/equation/figure references or reviewer-supplied citat"
2026_meta,DBEGtHOrL9,38,structure,"This is a meta-summary of reviews rather than a review itself; it contains many concrete specifics (RTX 2080Ti, 1.5h, Wan2.1, CAPE, Mixamo, VPoser, reviewer IDs"
2026_meta,YypHNcVjUu,25,substance,"This is a meta-review/AC summary with specific per-reviewer synthesis, concrete details (Appendix H, IMM, pruning, cost bound) and slightly uneven phrasing ('wo"
2026_meta,ZkHUIPOo1R,95,structure,"Meta-summary written in uniformly fluent, long-clause prose with speculative counterfactual score predictions and no idiosyncratic voice; reads as generated syn"
2026_review,XQ2DpnwhNA,72,structure,"Fluent symmetric strengths/weaknesses with generic praise ('novel and well-executed contribution'), abstract restatement in summary, minimal concrete engagement"
2024_review,qXU2MkqNa2,4,substance,"Concrete, idiosyncratic specifics (empty README, named baselines PatchTST/CoST, 'Abstract should be 1 paragraph') with terse uneven phrasing"
2026_meta,uSdwuQCJNZ,30,substance,"Specific per-reviewer IDs, score tracking, and a stray full-width Chinese parenthesis '）' suggest human AC drafting despite tidy bulleted structure"
2026_review,91xImu12iD,63,structure,"Very fluent, uniformly polished prose with em-dashes and symmetric praise/limitation scaffolding; weaknesses restate Assumption 1 generically and duplicate the "
2026_meta,wjrDnF92y4,88,structure,"Fluent, uniformly structured meta-review with symmetric 'addressed/outstanding' scaffolding and generic phrasing; specifics (RoPE, planner/predictor) are thin a"
2026_meta,v5fO1Yb028,30,structure,"This is a meta-review/AC decision summarizing reviewer IDs and concerns; it has concrete specifics (reviewer codes, HiPPO polynomial order s, FID/FVD) though th"
2024_review,9vltd9hAMf,4,substance,"Highly specific engagement (Table 3 2d-maze vs No-Rand, subsection 3.1 quote, Figure 3 seed count, citation formatting) with slightly non-native phrasing"
2026_review,fjyvXcVgrf,62,structure,"Fluent symmetric scaffolding with generic strengths and redundant repeated questions (Q3/Q4 duplicate), but weaknesses do engage with a specific inconsistency ("
2024_review,EBFXyhi6sj,3,substance,"Highly specific, idiosyncratic engagement (broken Figure ?? reference on p.5, illegible text at end of p.8, equations 6/8/9 compared, personal speculative quest"
2024_review,tU118cyStS,13,substance,Specific technical objections (masking doesn't reduce memory since zero-padded activations remain; ~30% accuracy non-convergence) with idiosyncratic phrasing li
2024_review,PB7SPEt3Yc,20,vocabulary,"Specific page/appendix references, idiosyncratic non-native phrasing ('pretraining phrase', 'results misguiding'), uneven rhythm and personal digressions"
2026_review,buZlFUhBhQ,72,structure,"Fluent, symmetric strengths/weaknesses with questions mirroring weaknesses one-to-one; no figure/equation/baseline specifics, only generic paraphrase of the pap"
2026_meta,pF3tAN8koB,72,structure,"Fluent, uniformly structured meta-review-style summary with generic scaffolding ('Reviewers appreciated the motivation...', 'Consequently, ...remain entirely un"
2026_meta,Pcida5JK2y,8,substance,"Highly specific meta-review with reviewer IDs, notation queries ($p_\phi$ vs $\hat{p}_\phi$), and the AC voicing personal disagreement with author arguments"
2024_review,zEQDO23tRn,88,substance,"Fluent, uniformly effusive prose ('groundbreaking', 'colossal', 'meticulous research and empirical evidence') that restates the abstract with no concrete engage"
2026_review,x49uDXKhd7,68,structure,"Heavy bolded-header scaffolding and exhaustive symmetric checklists, though with genuine line-number references to the paper"
2026_review,8ByPZc9elG,55,structure,"Numbered strengths/weaknesses each with a bolded-style label and uniform 'The paper...' phrasing suggests LLM formatting, but the content is specific (quantum s"
2024_review,S4LzFByanh,3,substance,"Specific figure-by-figure critiques, domain-expert clinical argument about mammography screening workflow, minor typo in own writing ('Figure 4 caption doesn't "
2026_meta,i9tQOkPJyJ,72,structure,"Meta-review style summary with bolded scaffolding, uniform per-reviewer template sentences ('The rebuttal did not... They are unlikely to increase the score.'),"
2026_review,F9URDG0cRA,30,substance,"Specific engagement with named methods (Momo, Scion, PolarGrad) and a pointed critique that Momo's paper lacks Momo-Adam convergence analysis; concrete numbers "
2026_review,SkgYmvrj1O,88,structure,"Symmetric labelled sections with uniform bullet lists of generic praise ('Methodological soundness', 'High interpretability', 'Reproducibility') and polished su"
2026_meta,qUPOuAqrAq,6,substance,"Meta-review with specific reviewer IDs, scores, and idiosyncratic first-person judgments plus a typo ('there score'); concrete engagement with author rebuttal d"
2026_meta,AKm0nusgOK,12,substance,"Idiosyncratic AC meta-review voice with typos ('where negatively leaning', 'the best their could', 'HedgeHog'), specific reviewer IDs and score trajectories, an"
2026_review,kAUfXGKTBi,15,substance,"Genuine analytical engagement with the paper's filtering methodology, hedged first-person voice ('I worry that', 'To my knowledge'), questions that build on eac"
2026_review,AYN4KRf4wb,72,structure,"Fluent, uniformly-phrased prose with questions that merely restate the weakness bullets verbatim; heavy formulaic LaTeX and single generic strength paragraph, t"
2024_review,imhtebVx65,18,substance,"Specific technical engagement (Theorem 4.2's '\exists s' quantifier, the inf-min coefficient), reviewer-supplied citation, and slightly uneven/non-native phrasi"
2026_review,PpNCiqy7LF,22,substance,"Reviewer supplies a specific outside citation and asks pointed novelty-vs-prior-work questions; terse, uneven, with typo ('techinical')"
2026_review,pWxSarSYTI,4,substance,"Highly specific line-number critiques, statistical nitpicks, named baselines (Feather, Shao et al), and idiosyncratic textual edit list"
2024_review,uT5RfknCBL,8,substance,"Specific technical engagement (equation 1, lemma 4.1, beta=1 degenerate case, RLPD fairness concern, only 3 real-world trials) with hedged first-person voice"
2026_review,4giqNL4JdJ,40,substance,"Concrete specifics (Table 3, ~0.5% gains, 2023-era baselines, dataset count) indicate genuine engagement, though the elevated diction ('posits', 'curtails its g"
2026_meta,9xwcXSPpX1,88,structure,"Uniformly fluent meta-review with symmetric per-reviewer scaffolding and formulaic hedged score predictions ('would likely...given...'), generic phrasing like '"
2026_review,6R7Fff4t7j,3,substance,"Terse, idiosyncratic critique with specific theorem/line-number references (Thm.1, 4.2.2, l407, l417) and personal skepticism ('I do not understand'); no symmet"
2024_review,rkM2iId88n,20,substance,"Specific technical questions (drop-connect comparison, mean of k MLPs, expert kernel terminology) show genuine engagement; slightly uneven phrasing and typo 'kn"
2026_review,6dnUA3wluQ,26,substance,"Concrete specifics (line 274 missing ref, Lines 132-134, GMAI-MMBench citation) and terse idiosyncratic question section suggest human; prose is fluent but grou"
2024_review,Oc77EHhYtM,15,substance,"Idiosyncratic formatting ((+ +), (-) markers), specific quotes from Sec 2/Sec 4 with critique, reviewer-supplied citation (Energy Transformer), self-admitted no"
2026_meta,J7YbjAtG9y,80,structure,"Highly templated meta-review with symmetric bolded headers, uniform bullet scaffolding ('Concerns effectively addressed' / 'Minor concerns that remain'), and fl"
2026_review,jCRq1CJ3Ny,15,substance,"Specific engagement: quotes dataset item verbatim, names BigToM forward-action task with citation, raises a concrete ambiguity critique; idiosyncratic voice"
2024_review,VLfcF4vA1A,6,substance,"Supplies specific citations, notation-level questions with actual symbols from page 4, hedged first-person uncertainty"
2024_review,rpINpB2HUG,20,substance,"Specific engagement (Figure 2 connection error, asking which second inpainting method used), slightly non-native repetitive phrasing 'what about to choose diffe"
2024_review,ZuvUEuHRfv,3,substance,"Idiosyncratic voice with personal irritation ('really (like really)', 'annoyed me'), specific page/typo references, practitioner anecdote"
2026_meta,qZGO3FqQm0,24,substance,"Highly specific engagement (named reviewer IDs, exact section-number error 'Sec. 2.2 but erroneously mentioned as 2.1', Huginn ~3.5B, Top-1 vs Top-2), plus info"
2026_review,Ii4BEJ7fkF,4,substance,"Idiosyncratic voice, genuine confusion, specific equation/figure references, typo 'chekcpointed', reviewer-supplied citations"
2026_meta,WIvlBpiGW0,35,substance,"This is a meta-review/AC summary with specific reviewer IDs, score tracking, and idiosyncratic notes (e.g., 'the discussion schedule were unexpected changed', g"
2024_review,Om8FAdGB9s,4,substance,"Reviewer supplies specific uncited related work (Luna, clustered attention) with substantive comparative critique and domain-specific opinions about LRA vs real"
2026_meta,o58SOIMy4B,16,substance,"Specific, idiosyncratic engagement: names xLSTMTime/xLSTM-Mixer and GIFT Eval as missing baselines the reviewers didn't flag, cites Theorem 1 quote, reviewer ID"
2024_review,wNODXTFOEd,6,substance,Specific catches of figure/table cross-reference errors ('mirror errors' non-native phrasing) and idiosyncratic open-ended questions
2026_meta,LBLxa1IQIP,93,substance,"Meta-review is entirely generic scaffolding with no paper-specific content (no baselines, datasets, or numbers named); bulleted concern headings with bolded lab"
2026_meta,ufLwVqqGgn,93,structure,"Highly uniform, fluent meta-review prose with formulaic per-reviewer symmetry ('would likely lower/maintain their score to a 4'), consistent hedging templates, "
2026_review,3cH2yYpnL2,4,substance,"Frequent typos ('psace','methos','7 model.s','Mdel stiching','beyonde','tranferability'), uneven punctuation, and a pointed literature-placement critique with s"
2024_review,t8GzobMzOM,6,substance,"Specific concrete engagement: figure numbers, Simpsons dataset 30K finetuning detail, supplied citations with URL, typo catch in Section 3"
2026_meta,Xvn4ZIIns0,30,substance,"This is a meta-review/AC summary with concrete reviewer IDs, score trajectories, and specific unresolved issues; headers are formulaic but content is specific a"
2026_meta,S3pEgKpzio,72,structure,"This is a meta-review/AC summary with highly structured, numbered symmetric scaffolding ('addressed / partially addressed / outstanding') and hedged speculation"
2026_review,TCB3PryYkY,32,structure,"Mixed: labeled Originality/Significance/Clarity scaffolding and generic transfer-to-real-world weaknesses, but questions cite specific line number and notation "
2026_review,RIKJBdCcA7,6,substance,"Highly specific technical nitpicks (notation at Line 148, 'C is a scalar', Eq. 12, undefined symbols) and quoted phrases from the paper indicate close human rea"
2026_meta,VdslQnzofG,13,substance,"Specific reviewer IDs, concrete concerns, and a grammatical slip ('recommend acceptance accepted due to') indicate human drafting"
2024_review,DufOw60Yqi,22,substance,"Specific named datasets the reviewer supplies (NoisyMNIST, Caltech20, PatchedMNIST) and a concrete pseudocode line-order query (line 20 vs 21) indicate real eng"
2024_review,F31GuddPRk,16,substance,"Concrete engagement (Equation 4, NeuRay/NeRFormer), a nuanced point about baselines already pretraining, and a question cut off mid-sentence"
2024_review,29FKDF5JWE,4,substance,"Supplies specific citations with links, quotes exact phrases from the paper, notes a typo inconsistency ('multifacted'), idiosyncratic disagreement grounded in "
2026_meta,Qgf21AlyQt,93,structure,"Fluent, uniformly structured meta-summary with generic evaluative phrasing ('effectively addressed the majority of concrete, testable concerns') and symmetric p"
2024_review,le22djMTkA,83,substance,"Fluent symmetric strengths/weaknesses scaffolding with generic critiques (need theoretical analysis, hyperparameter guidance, compute resources) and no specific"
2026_review,fU7R3KWgyf,72,structure,"Fluent, symmetric strengths/weaknesses with generic phrasing ('restricted autonomy, heuristic guidance, and limited evaluation scope'), questions that merely re"
2024_review,IuyTFVkuyl,4,substance,"Specific first-person checking against TokenFlow's website, concrete figure critique, and reviewer-supplied citations"
2026_review,8ca7D1KTR6,75,structure,Fluent symmetric scaffolding with heavy bold-term emphasis and generic 'strengthen by adding X' weaknesses; few concrete paper specifics (no equation/figure/tab
2024_review,lZrR921GDX,32,substance,"Specific typo quotations (""NLP.(Du et al., 2022)"", ""an car"") and concrete complaints suggest real reading, though prose is fluent and somewhat scaffolded"
2026_meta,MUwCBgvL6I,92,structure,"Highly templated bulleted meta-summary with symmetric 'addressed / outstanding' scaffolding, bolded labeled headings, and formulaic per-reviewer score speculati"
2026_review,Za1JlePeSd,3,substance,"Highly idiosyncratic domain-expert critique with specific citations, personal literature advocacy, numbering glitch ('7.'), and non-native phrasing"
2026_meta,4GVc6ruZ03,75,structure,"Fluent, symmetric addressed/outstanding scaffolding with generic 'lacks deep insights / responsible deployment guidance' phrasing; specifics (FactorVAE, HireVAE"
2026_review,e7y2N3Sc1f,22,substance,"Reviewer supplies three specific outside citations with arXiv numbers, blunt 'Now I have no question on this paper', non-native grammar slips ('method using pru"
2026_review,vDAVJKqyNd,38,structure,"Structured strengths/weaknesses with some concrete references (Eq 5, Figure 2) but generic phrasing like 'would benefit from more consistent and comprehensive c"
2026_meta,eo4UDng6Mx,22,substance,"This is a meta-review/AC summary with idiosyncratic hedging ('might only be partially addressed, if, for example...'), specific reviewer IDs, score trajectories"
2024_review,obG55yg6I1,72,structure,"Strengths section uses labeled 'Originality/Quality/Significance' scaffolding with hedged generic praise ('suggesting an effort to ground the approach'), and we"
2026_meta,u2xmj7Tn8J,72,structure,"Fluent, uniformly balanced meta-review prose with heavy repetition of the same summary points across sections; generic scaffolding ('addresses an important and "
2024_review,pzProhd1Z4,15,substance,"Highly specific, idiosyncratic comments (Algo 4/5 in appendix, '$m-$type' formatting nit, doubling trick unfamiliarity, admitted non-expertise) with uneven huma"
2026_meta,6wEkipo26M,25,substance,"This is a meta-review/AC summary with reviewer IDs, specific experiment names (facctscore, Llama3-8B, K' effects) and idiosyncratic inconsistent capitalization "
2026_meta,9F9OZZqS5o,26,substance,"Meta-review with specific reviewer IDs and per-reviewer concerns attributed; bolded scaffolding is standard AC template usage, and phrasing ('didn't engage duri"
2024_review,AbUmbIgsWZ,3,substance,"Highly specific engagement: equation-level typo catches (Eq 4 loss superscript), LaTeX quotation mark advice, Figure 1 color nitpick, OpenReview title formattin"
2024_review,tZxJPPKBlz,2,substance,"Typos, first-person hedging about own expertise, specific table/figure critiques and quoted phrases from the paper"
2026_review,KqRmbtPInE,22,substance,"Specific engagement (named attacks GCG/AutoDAN, section 4.1 cosine similarity critique, spaCy/TextAttack perturbations) with idiosyncratic hedging like 'close-i"
2024_review,xUBud4eFKU,3,substance,"Specific engagement: quotes Theorem 4.1 wording, disputes its logic, cites 0.5% number from Table 1, and lists exact grammatical errors from the manuscript with"
2024_review,asB673EIn0,10,substance,"Specific catches like typo in Definition A.1 (sc(n_i) vs sc(c_i)), unique disjointness reference, terse uneven bullets"
2026_meta,zr9AYMT4qG,75,structure,"Fluent, symmetric meta-summary with generic bulleted concern scaffolding; concerns are largely generic reproducibility checklist items, though a few specifics ("
2026_review,t7kEt9PIxM,30,substance,"Fluent symmetric strengths/weaknesses, but with substantive specific critiques (fixed-workflow abstraction, toy task, disconnect from LLM claims) and a human ty"
2026_review,nENbRLmtGE,26,substance,"Specific engagement (line numbers 105-139, Table 1's 19,300% error, Figure 7 pixelation, Appendix B/C references) with an idiosyncratic labeled-bullet format; f"
2026_review,dj4pas4QRi,20,substance,"Highly specific technical critiques (missing Q in Eq. 7, FPS 262 in Table 4, OpenGaussian regime distinction, reviewer-supplied CVPR 2025 citation) indicate gen"
2026_meta,MflCmn1aZI,35,substance,"This is a meta-review/AC summary, terse and highly specific to each reviewer ID with concrete concerns and rebuttal outcomes; slightly templated parenthetical r"
2026_review,39piDKfb3M,72,structure,"Highly symmetric, uniformly formatted strengths/weaknesses/questions with bolded headers and mirrored one-to-one mapping; fluent even prose, though it does cite"
2026_review,3XAPyudzkc,3,substance,"Specific line-number references, self-supplied citation (own-sounding Muslea 1997), concrete idiosyncratic restructuring advice"
2024_review,QvDm9Wm84z,22,substance,"Specific domain engagement (C-SWM, Spriteworld, slot-attention limits on real images), idiosyncratic suggestions (Minecraft, Atari), and a concrete technical qu"
2024_review,8d8jr7jmx4,15,substance,"Specific engagement with Algorithm 1 line numbers, a reviewer-supplied citation (Lu et al. concept drift survey), and an idiosyncratic conceptual objection abou"
2026_review,ry5J7fmIMt,15,substance,"Idiosyncratic reviewer voice ('Let me briefly describe my guideline'), non-native phrasing ('In sufficient Ablation', 'such a crowd research area'), specific nu"
2024_review,enQL38WCW4,22,substance,"Terse, uneven sections with specific technical engagement (truncation bounds for square loss, baseline supervised excess risk derivation) and honest low confide"
2024_review,JrTCMTQhPR,15,substance,"Specific engagement: names an uncited related paper, questions Fig.1 feedback loop, asks about cutoff/Gaussian random field hyperparameters and specific baselin"
2026_review,7gIHZnEPoJ,4,substance,"Idiosyncratic personal voice, genuine ethical unease, specific line/section references, constructive reframing suggestion"
2024_review,boJs2L3KCV,18,substance,"Specific engagement with named baselines the reviewer supplies, pointed questions about particular equations/sections (Eq. 1, GGF-DQN subroutine, s_r notation),"
2026_meta,A5LttpNhae,88,structure,"Highly uniform bulleted meta-review scaffolding with generic 'concerns were largely resolved' phrasing, symmetric addressed/remaining structure, and speculative"
2026_review,jRUBi54bCG,24,substance,"Reviewer supplies specific external citations (Dreamer v3, DreamerPRO, the GOEI journal DOI) and has slight non-native phrasing ('Work do not propose', 'algorit"
2024_review,sZxOXR3X9j,72,structure,"Abstract-restating summary and fluent generic strengths with '+/-' symmetric scaffolding; concrete suggestions exist but SAM is mis-expanded, suggesting model-g"
2026_meta,SPqpImKsGk,72,structure,"Meta-review-style synthesis with uniform, tidy scaffolding (numbered 'Addressed in rebuttal' / 'Still somewhat outstanding' lists, formulaic per-reviewer score "
2026_review,5zBGJGPnr0,5,substance,"Specific, substantive engagement (Table 1/3 fairness of 20k-data baseline, Mulberry-260k format transformation, interleaving tags) with idiosyncratic voice ('On"
2026_review,bi5d4Jw4VV,22,substance,"Very specific line-number, figure, and table references plus LaTeX typo catches (""textcollorbule"", ""Moresults"") indicate genuine close reading; slightly templat"
2026_meta,WIioxrewUN,15,substance,"Idiosyncratic AC voice with specific reviewer IDs, hedged speculation about score changes ('I believe reviewer Dv46 would have upgraded'), terse uneven phrasing"
2024_review,FLbTgeu5yl,5,substance,"Specific figure references (Fig 13 'zebra','cat'), idiosyncratic wording ('rudely adjusts'), duplicated numbering '4.', genuine targeted critiques"
2024_review,906a2fTnDd,18,substance,"Substantive, opinionated critique with a specific conceptual argument (overparameterization vs one-neuron-per-factor), named citation (Locatello, misspelled 'Lo"
2026_meta,PIcK6kGz9N,22,substance,"This is a meta-review/AC summary with specific reviewer IDs, per-reviewer score reasoning, and hedged idiosyncratic judgments ('This point is well taken', 'they"
2026_meta,Tlq3vzAAna,78,structure,"Fluent, uniformly structured meta-review summary with generic aggregation language ('a consistent set of reviewer concerns', 'rather than the core novelty') and"
2024_review,Pbv9BAOkcb,2,substance,"Highly specific idiosyncratic complaints (LaTeX notation nitpicks, wrong citation for Hand4Whole, GAP in Figure 2), personal voice ('I'm not sure why')"
2026_review,vsfZqIUvbR,13,substance,"Concrete paper-specific critiques (Algorithm 1 notation a^{L_train}_N, wrong Diffusion-QL citation on line 376, request for L_test=0 column, V-D4RL/Adroit sugge"
2026_meta,t11yLjyQkX,35,substance,"Structured meta-review with specific technical detail (SI-SDR, NAC alignment, adversarial discriminators) and non-native phrasing ('time-aligned waveforms actua"
2026_review,8orCUOONcK,22,substance,"Specific technical engagement with the paper's two-stage mechanism, tags <think>/<tot>, and pointed skepticism about confound of prolonged training; slightly un"
2026_review,3FsNzgiloc,78,structure,"Fluent symmetric strengths/weaknesses and generic bulleted questions (deployment hardware, OS compatibility) with only abstract-level specifics (numbers restate"
2026_meta,iljsbTqsiz,93,structure,"Fluent, uniformly structured meta-summary with symmetric resolved/remaining scaffolding and formulaic per-reviewer score projections; specifics appear copied bu"
2026_review,e5x3LVtRR6,25,substance,"Reviewer supplies four specific uncited baselines with venues/years, a pointed jab ('The authors' expertise in this area is also questionable'), and a concrete "
2024_review,7pagZd5VZv,5,substance,"Idiosyncratic nitpicks quoting exact sentences (SAT decision vs CO, 'What EDA stands for?'), typos like 'degratation', terse asymmetric strengths/weaknesses"
2026_meta,wYctnrWFTi,25,substance,"This is a meta-review/AC summary with concrete reviewer IDs, score changes, specific appendix sections and citations; typos ('authors's', 'revisied', 'convincib"
2026_review,LK3blLopUB,72,structure,"Fluent, symmetric strengths/weaknesses with generic 'ablation study'/'baseline' asks; uses notation but little concrete engagement (no figure/equation/section n"
2024_review,RMHQg1wNrh,3,substance,"Deep idiosyncratic technical engagement: specific equations, self-supplied citations, hedged personal asides ('Maybe I have missed something', 'in all fairness'"
2024_review,oS5iVHTjmG,15,substance,"Highly specific engagement (page 3 quotes, 200 ms timing, \Cref LaTeX nitpick, paperswithcode link), idiosyncratic phrasing and typos"
2026_review,1cVqOL5MyL,75,structure,"Symmetric numbered strengths/weaknesses with fluent generic phrasing and abstract-restating summary; specifics are limited to facts pulled from the abstract, th"
2026_meta,OaB7yPHuJX,25,substance,"This is an AC meta-review, not a peer review; it contains specific concrete details (reviewer IDs, molecular experiments with a single baseline) and idiosyncrat"
2026_review,3OZxGVLikU,30,substance,"Mostly specific engagement (names EoH, Figure 5, suggests inverted pendulum/PID alternatives, 'I personally liked') though bulleted symmetric structure and em-d"
2024_review,F4TScJgAaa,22,substance,"Specific engagement (Figure 3, M-RNNs, FORCE/Full-FORCE/R-FORCE citations supplied by reviewer) and slightly uneven phrasing suggest human authorship despite ti"
2026_review,cpgBFRY7cI,25,substance,"Specific line numbers, N=30 detail, supplied citation, and idiosyncratic opinionated voice ('We don't need a trick'); slightly non-native phrasing"
2026_review,n3dD3PFY1A,47,structure,"Mostly generic strengths/weaknesses scaffolding with fluent summary, but the specific MAPoRL citation supplied by the reviewer and terse 'Please see weakness' s"
2026_meta,KfJ0GULYOZ,88,structure,"Fluent, uniformly structured meta-review with symmetric per-reviewer scaffolding and formulaic 'his/her' phrasing; reads as generated summary rather than an AC'"
2026_meta,A96OeMhN3X,72,structure,"Meta-review-style summary with clean symmetric 'Addressed/Outstanding Concerns' scaffolding and uniform fluent phrasing; specifics (reviewer IDs, scores) come f"
2024_review,pY2W5gMoHg,3,substance,"Deep technical engagement: derives data-processing inequality argument against Theorem 7's assumption, supplies specific citations, catches typo after eq (4)"
2026_meta,vaoSZZc1Ar,70,structure,"This is a meta-review/AC summary with fluent, uniform, template-like phrasing and generic aggregation of reviewer concerns ('Addressed'/'Partly Addressed'), wit"
2024_review,YS16XhSTXv,4,substance,"Idiosyncratic personal aside about being an emergency reviewer, non-native phrasing ('takes into account of the prob of non-targets'), specific domain reference"
2026_meta,jlMiMySmOY,38,substance,"Meta-review-style summary with fluent but slightly generic prose; however contains specific idiosyncratic details (reviewer 'could not track the new results', a"
2024_review,HF4KaKw9R3,22,substance,"Terse, uneven points with concrete paper-specific questions (similarity threshold, manual review process) rather than generic symmetric scaffolding"
2026_review,aOnEU1JAKm,4,substance,"Specific literature-grounded critiques with reviewer-supplied citations, terse strengths/weaknesses, minor typos ('straightforwad', smart quote)"
2026_meta,qgtXQx4pP1,92,structure,"Fluent, symmetric 'Addressed / Still Outstanding' scaffolding with markdown headers and formulaic per-reviewer score predictions; polished uniform prose with no"
2024_review,pXWv5OdfBB,45,structure,"Fluent, uniformly polished prose with Originality/Quality/Clarity/Significance scaffolding, but containing concrete specifics (Figure 4 encoding ratios, sky art"
2026_meta,tesA5MFGAQ,72,structure,"This is a meta-review/AC-style summary rather than a review; it is fluent and specific about reviewer IDs and concerns, but the prose has uniform hedged rhythm "
2024_review,L0FO6owlD4,25,substance,"Concrete specifics (\delta-models, gamma=0.95 question tied to paper's setting), low confidence self-admission, terse uneven weaknesses"
2026_meta,4FFJbnUlGd,11,substance,"Highly specific meta-review content: named reviewer IDs, concrete notation critiques (multi-char 'ins', $\sigma$, Equation 4 vs 1), idiosyncratic editorial voic"
